56251;18052146;9000000;2;850;0;3984;60;62;1125002
56251;18064910;9000000;2;1394;3;3344;68;70;1125002
56251;18025619;9000000;2;647;3;1324;26;28;1125002
56251;18181049;9000000;2;3136;0;16604;181;183;1125002
56251;18063215;9000000;2;1092;0;5004;64;66;1125002
56251;18040603;9000000;2;808;0;3684;48;50;1125002
56251;18084440;9000000;2;2146;1;3424;58;60;1125002
56251;18035546;9000000;2;1017;1;1504;31;33;1125002
56251;18089711;9000000;2;2212;6;7704;93;95;1125002
28126;19039883;9000000;2;27721;0;48904;689;693;562502
28126;18567026;9000000;2;18131;0;29184;422;426;562502
28126;18193400;9000000;2;6571;10;5584;138;142;562502
50626;16221565;8100000;2;340;1;1504;29;31;1012502
50626;16245289;8100000;2;973;2;1984;35;37;1012502
50626;16250156;8100000;2;1038;7;2804;56;58;1012502
50626;16219202;8100000;2;398;1;1504;27;29;1012504
50626;16245850;8100000;2;678;2;3344;62;64;1012502
50626;16216807;8100000;2;333;3;862;16;18;1012502
