5647;0;0;0;28130
5626;450000;900000;0;0;28125
5626;450000;900000;0;0;28125
5626;450000;900000;0.0;0;28125
5626;450000;900000;0.0;0;28125
5626;450000;900000;2;0;28125
5626;1800000;900000;0;0;112501
5626;1800000;900000;0;0;112501
5626;1800000;900000;0;0;112501
5626;1800000;900000;0;0;112501
5626;450000;900000;2;0;28125
5626;450000;900000;2;0;28125
5626;1800000;900000;0;0;112501
5626;1800000;900000;0;0;112501
5626;450000;900000;2;0;28125
5626;450000;900000;2;0;28125
